START VALUE, END VALUE, NC/MT ratio, NC/TP ratio, NC/SS ratio, NC/PS ratio
800000000,801000000,2.1107888146864653,2.0458180569142232,0.9898014638001873,1.9421064728507649,
800000000,801000000,2.1073375971107113,1.993997268678555,0.9847952361598494,1.9417943312956514,
4000000,16000000,2.0696702266394933,0.7360401059573668,0.9709880219476075,1.2223177304179556,
4000000,16000000,1.866702101755743,0.7827435627876866,0.9324945596035741,1.7284185342466443,
4000000,16000000,1.9146808475018073,0.755840154212,0.9602325110898204,1.5151194661461047,
4000000,16000000,2.015967698351831,1.0808443080066796,1.0379564995685409,2.027196055159491,
4000000,16000000,1.9397573302693776,0.8808067542310576,0.9672079566942625,1.78720052240812,
10000000,13000000,2.126506744707657,0.9527764474647289,0.9815617498479728,1.2956403806133332,
10000000,13000000,1.9837275742589395,0.9362646583931933,0.9514090621892057,1.8784725869170935,
10000000,13000000,2.060761697600593,1.3847110708780954,0.9795016469287315,1.8339946184026894,
10000000,13000000,1.9711543649956775,1.371100040180914,0.9545186669428941,1.836056547120364,
10000000,13000000,2.1200547588759946,1.3204803428659284,0.984174718944596,1.8575946472051497,
1000,2000,1.8423308492337993,0.16002726279085103,0.019974901160157765,0.1596241618691183,
1000,2000,0.17736938885114828,0.031642013594219684,0.3103303432246502,0.09841325911899915,
1000,2000,0.012354498894755098,0.030712299682161506,0.2761837973865263,0.10082014274803128,
1000,2000,0.07739085441173392,0.06699476115539385,0.39165629834137067,0.16451031678316252,
1000,2000,0.20358474512092445,0.03672511950600835,0.49585794964438584,0.14256879961191762,
10000,20000,0.509015271367447,0.09848467198933404,0.45066400742926016,0.31359590767765605,
10000,20000,0.9783150006521507,0.1857632712977931,0.5532867273550269,0.3813184304870907,
10000,20000,0.27835267105173106,0.25917535229218225,0.5790255241918759,0.38797722265746176,
10000,20000,1.158372938987972,0.15944667067409712,0.8307689523458346,0.8819100153572573,
10000,20000,0.9439115003541345,0.1432318882896585,0.8550804414826022,0.8742366725185163,
100000,200000,1.5953937835855456,0.5132016570039716,0.8733987816732716,1.0697560765037948,
100000,200000,1.664986356157838,0.3451299712372313,0.8773921697122186,0.9289631238577165,
100000,200000,1.4672175390380147,0.5037625100246612,1.0033078285656045,1.6462498681992364,
100000,200000,1.8804979957356698,0.38833523969032574,0.9645060415199782,1.5655789524874775,
100000,200000,1.9951719154076146,0.45527218002676906,0.9750707265921834,1.529786788332355,
1000000,2000000,2.0903231403872353,0.8517765952160099,0.9710199880250268,1.8651497828273116,
1000000,2000000,2.046910691030189,0.4638401277530631,0.9564435609369496,1.8681968162652318,
1000000,2000000,2.0770559872333356,0.7203161265768833,0.9674847248108671,1.6969343616549737,
1000000,2000000,2.040108794029627,0.841348666618071,0.9685710726004879,1.9048969114568775,
1000000,2000000,2.0746449990283438,0.7887024676591298,0.9471201614469488,1.7324865782020207,
10000000,20000000,2.0471823572177055,0.8939388681592,0.9837680780395194,1.587451144263254,
10000000,20000000,1.9964611151748275,0.9815486447514927,0.9660754047189376,1.8286731218558534,
10000000,20000000,2.094017135939341,1.1311970970293264,0.9689927063200858,1.8539348049236488,
10000000,20000000,2.030319182532322,1.1459869532912923,0.978175409163483,1.800510511155551,
10000000,20000000,2.091426472985689,1.086843940575009,0.9733534097586805,1.5676369523097673,
